"","V1"
"3091",0.00742129
"3092",0.01368531
"3093",-0.01255347
"3094",-0.0005037276
"3095",0.01536798
"3096",-0.004063533
"3097",-0.005952076
"3098",0.001168582
"3099",-0.008443113
"3100",0.00367302
"3101",0.01355234
"3102",0.006657952
"3103",0.002411414
"3104",-0.003891062
"3105",0.005642436
"3106",-0.002499805
"3107",-0.007688352
"3108",-0.016279
"3109",0.0003505192
"3110",-0.004287853
"3111",-0.006724828
"3112",0.002514247
"3113",-0.003393091
"3114",-0.01117507
"3115",-0.005762409
"3116",-0.004413544
"3117",-0.0151658
"3118",-0.007415201
"3119",0.01590868
"3120",0.0004862191
"3121",0.00169227
"3122",0.001379081
"3123",-0.002167981
"3124",0.01101806
"3125",-0.01443863
"3126",-0.002279261
"3127",-0.0249513
"3128",0.0001095485
